GEO.id,GEO.id2,GEO.display-label,TOTAL_POPULATION,TOTAL_UNINSURED,PERCENT_UNINSURED,TOTAL_INSURED,PERCENT_INSURED
Id,Id2,Geography,Total; Estimate; Total civilian noninstitutionalized population,Number Uninsured; Estimate; Total civilian noninstitutionalized population,Percent Uninsured; Estimate; Total civilian noninstitutionalized population,Number Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population,Percent Insured by  Coverage Type; Estimate; Total civilian noninstitutionalized population
1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",3385,114,3.4,3271,96.6
1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",1939,105,5.4,1834,94.6
1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",5428,404,7.4,5024,92.6
1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",4274,292,6.8,3982,93.2
1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",3516,555,15.8,2961,84.2
1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",1750,386,22.1,1364,77.9
1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",4396,837,19,3559,81
1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",3206,588,18.3,2618,81.7
1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",2031,116,5.7,1915,94.3
1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",5499,581,10.6,4918,89.4
1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",4240,526,12.4,3714,87.6
1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",2314,155,6.7,2159,93.3
1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",3533,1059,30,2474,70
1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",4297,862,20.1,3435,79.9
1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",2131,547,25.7,1584,74.3
1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",1919,382,19.9,1537,80.1
1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",2580,462,17.9,2118,82.1
1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",1794,336,18.7,1458,81.3
1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",2446,454,18.6,1992,81.4
1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",2834,462,16.3,2372,83.7
1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",1909,335,17.5,1574,82.5
1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",1029,157,15.3,872,84.7
1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",1647,169,10.3,1478,89.7
