GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC21,HC01_EST_VC22,HC01_EST_VC23,AVERAGE_PERCENT_IN_COLLEGE,AVERAGE_TOTAL_IN_COLLEGE
Id,Id2,Geography,Total; Estimate; Population 18 years and over,Total; Estimate; Population 18 years and over - Enrolled in college or graduate school %,Total; Estimate;,,
1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",3056,25.5,779,10.71531936,396.9578343
1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",1619,4.3,70,,
1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",4561,14.4,657,,
1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",3703,11.6,430,,
1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",3145,19.5,613,,
1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",1540,15.8,243,,
1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",3603,11.7,422,,
1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",2919,10.4,304,,
1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",1635,13,213,,
1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",4790,12.6,604,,
1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",3826,16.3,624,,
1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",2044,9.8,200,,
1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",3612,18.9,683,,
1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",3228,14.2,458,,
1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",1843,10.9,201,,
1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",1417,13,184,,
1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",2167,11.1,241,,
1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",1251,19.7,246,,
1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",1950,14.4,281,,
1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",2099,19.6,411,,
1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",1209,12.9,156,,
1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",971,7.6,74,,
1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",1391,15.1,210,,
1400000US06001402800,6001402800,"Census Tract 4028, Alameda County, California",3039,10.3,313,,
1400000US06001402900,6001402900,"Census Tract 4029, Alameda County, California",1358,15.3,208,,
1400000US06001403000,6001403000,"Census Tract 4030, Alameda County, California",2303,7.2,166,,
1400000US06001403100,6001403100,"Census Tract 4031, Alameda County, California",1670,11.3,189,,
1400000US06001403300,6001403300,"Census Tract 4033, Alameda County, California",3431,13.9,477,,
1400000US06001403400,6001403400,"Census Tract 4034, Alameda County, California",4099,13.7,562,,
1400000US06001403501,6001403501,"Census Tract 4035.01, Alameda County, California",4007,16.3,653,,
1400000US06001403502,6001403502,"Census Tract 4035.02, Alameda County, California",1887,11.1,209,,
