GEO.id,GEO2,GEO.display-label,TOTAL_PEOPLE_ASKED,TOTAL_POVERTY,PERCENT_POVERTY
Id,Id2,Geography,Total; Estimate; Population for whom poverty status is determined,Below poverty level; Estimate; Population for whom poverty status is determined,Percent below poverty level; Estimate; Population for whom poverty status is determined
1400000US06001400100,6001400100,"Census Tract 4001, Alameda County, California",2752,137,5
1400000US06001400200,6001400200,"Census Tract 4002, Alameda County, California",1939,78,4
1400000US06001400300,6001400300,"Census Tract 4003, Alameda County, California",5365,460,8.6
1400000US06001400400,6001400400,"Census Tract 4004, Alameda County, California",4274,307,7.2
1400000US06001400500,6001400500,"Census Tract 4005, Alameda County, California",3516,530,15.1
1400000US06001400600,6001400600,"Census Tract 4006, Alameda County, California",1733,143,8.3
1400000US06001400700,6001400700,"Census Tract 4007, Alameda County, California",4396,832,18.9
1400000US06001400800,6001400800,"Census Tract 4008, Alameda County, California",3168,243,7.7
1400000US06001400900,6001400900,"Census Tract 4009, Alameda County, California",2031,243,12
1400000US06001401000,6001401000,"Census Tract 4010, Alameda County, California",5486,1630,29.7
1400000US06001401100,6001401100,"Census Tract 4011, Alameda County, California",4240,645,15.2
1400000US06001401200,6001401200,"Census Tract 4012, Alameda County, California",2323,183,7.9
1400000US06001401300,6001401300,"Census Tract 4013, Alameda County, California",3517,1209,34.4
1400000US06001401400,6001401400,"Census Tract 4014, Alameda County, California",4246,1771,41.7
1400000US06001401500,6001401500,"Census Tract 4015, Alameda County, California",2131,488,22.9
1400000US06001401600,6001401600,"Census Tract 4016, Alameda County, California",1919,771,40.2
1400000US06001401700,6001401700,"Census Tract 4017, Alameda County, California",2603,593,22.8
1400000US06001401800,6001401800,"Census Tract 4018, Alameda County, California",1794,571,31.8
1400000US06001402200,6001402200,"Census Tract 4022, Alameda County, California",2432,648,26.6
1400000US06001402400,6001402400,"Census Tract 4024, Alameda County, California",2834,835,29.5
1400000US06001402500,6001402500,"Census Tract 4025, Alameda County, California",1909,949,49.7
1400000US06001402600,6001402600,"Census Tract 4026, Alameda County, California",1029,359,34.9
1400000US06001402700,6001402700,"Census Tract 4027, Alameda County, California",1615,409,25.3
1400000US06001402800,6001402800,"Census Tract 4028, Alameda County, California",3268,1378,42.2
1400000US06001402900,6001402900,"Census Tract 4029, Alameda County, California",1323,350,26.5
1400000US06001403000,6001403000,"Census Tract 4030, Alameda County, California",2471,747,30.2
1400000US06001403100,6001403100,"Census Tract 4031, Alameda County, California",1401,387,27.6
